wave,temp,time,intensity
1265.2104,25,0,93.6391
1267.139,25,0,93.6303
1269.0677,25,0,93.6035
1270.9964,25,0,93.5678
1272.9251,25,0,93.5624
1274.8537,25,0,93.5563
1276.7824,25,0,93.5394
1278.7111,25,0,93.5297
1280.6398,25,0,93.5125
1282.5684,25,0,93.4866
1284.4971,25,0,93.4569
1286.4258,25,0,93.4241
1288.3545,25,0,93.3848
1290.2831,25,0,93.3402
1292.2118,25,0,93.2846
1294.1405,25,0,93.2281
1296.0692,25,0,93.1767
1297.9978,25,0,93.1249
1299.9265,25,0,93.0841
1301.8552,25,0,93.043
1303.7839,25,0,92.997
1305.7125,25,0,92.9536
1307.6412,25,0,92.9366
1309.5699,25,0,92.9394
1311.4986,25,0,92.9131
1313.4272,25,0,92.9028
1315.3559,25,0,92.9266
